ID,YEAR,MONTH,DATE,TIME,TRAIN_ID,LINE_ID,PLACE_ID,ST1_ID,ST2_ID,DELAY_ID,OPERATOR,CAUSE_ID,DETAIL
1,2021,มกราคม,2021-01-01,14.33,49,3,1,BL14,,B,BEM,2,14.33 น. ขบวนรถไฟฟ้าหมายเลข 49 เกิดเหตุระบบแรงดันลมขัดข้อง จำนวน 1 ขบวน ที่สถานีพหลโยธิน ฝั่งขาขึ้น (ปลายทางสถานีท่าพระ) ดำเนินการถอนรถออกจากการให้บริการ ล่าช้า 2 นาที โดยมีขบวนรถให้บริการทดแทน สถานีได้ประชาสัมพันธ์ให้ผู้โดยสารรับทราบ
2,2021,มกราคม,2021-01-11,18.56,56,1,2,N9,N10,O,BTS,8,เวลา 18.56 น. ระบบอาณัติสัญญาณของขบวนรถไฟฟ้าหมายเลข 56 ขัดข้อง ระหว่างสถานีห้าแยกลาดพร้าวกับสถานีพหลโยธิน 24 ฝั่งมุ่งหน้าสถานีปลายทางคูคต ไม่สามารถแก้ไขได้ ทำการเปลี่ยนถ่ายผู้โดยสารที่สถานีพหลโยธิน 24 และ นำออกจากการให้บริการ
3,2021,มกราคม,2021-01-12,6.15,80,1,1,N17,,O,BTS,2,เวลา 06.15 น. ขบวนรถไฟฟ้าหมายเลข 80 ระบบเบรคขัดข้องที่สถานีวัดระศรีมหาธาตุ ฝั่งมุ่งหน้าสถานีปลายทางเคหะฯ ทำให้ขบวนรถไฟฟ้าไม่สามารถเคลื่อนที่ให้บริการต่อได้ เพื่อความปลอดภัยในการให้บริการ จึงทำการเปลี่ยนถ่ายผดส. และ นำออกจากการให้บริการ
4,2021,มกราคม,2021-01-13,6.15,Express04,4,1,A8,,O,SRTET,4,เวลา 06.15 น. รถไฟฟ้า Express04 ระบบไฟฟ้าของขบวนรถขัดข้องที่สถานีปลายทางพญาไท ดำเนินการถอนรถออกจากการให้บริการ โดยมีขบวนรถให้บริการทดแทน
5,2021,มกราคม,2021-01-19,11.19,,6,2,G1,G3,O,BTS,4,เวลา 11:19 น. (รถไฟฟ้าสายสีทอง) ระบบจ่ายกระแสไฟฟ้าขัดข้องระหว่างสถานีกรุงธนบุรี ถึงสถานีคลองสาน ส่งผลให้ขบวนรถไฟฟ้าทุกขบวนไม่สามารถเคลื่อนที่ได้ จากนั้นปรับรูปแบบการเดินรถ โดยจัดรถไฟฟ้าวิ่งให้บริการจากสถานีกรุงธนบุรี ถึงสถานีคลองสาน โดยใช้ชานชาลาฝั่งมุ่งหน้าสถานีคลองสานฝั่งเดียวในการให้บริการ
6,2021,มกราคม,2021-01-20,15,33,3,1,BL02,,B,BEM,8,เวลา 15.00 น. ขบวนรถไฟฟ้าหมายเลข 33 เกิดเหตุระบบขับเคลื่อนรถไฟฟ้าอัตโนมัติขัดข้อง จำนวน 1 ขบวน ที่สถานีจรัญฯ 13 ฝั่งขาล่อง (ปลายทางสถานีหลักสอง) ดำเนินการถอนรถออกจากการให้บริการ ล่าช้า 5 นาที โดยมีขบวนรถให้บริการทดแทน
7,2021,มกราคม,2021-01-25,9.56,53,3,1,BL32,,B,BEM,3,"เวลา 9.56 น. ขบวนรถไฟฟ้าหมายเลข 53 เกิดเหตุประตูรถไฟฟ้าขัดข้อง จำนวน 1 ขบวน ที่สถานีอิสรภาพ ฝั่งขาล่อง (ปลายทางสถานีหลักสอง) ดำเนินการถอนรถออกจากการให้บริการ ล่าช้า 5 นาที โดยมีขบวนรถให้บริการทดแทน
-สถานีได้ประชาสัมพันธ์ให้ผู้โดยสารรับทราบ"
8,2021,มกราคม,2021-01-26,20.24,,6,2,G2,G3,O,BTS,6,"20.24 น. รถไฟฟ้าสายสีทอง จุดสับรางขัดข้องระหว่างสถานีเจริญนครกับสถานีปลายทางคลองสาน กำลังทำการแก้ไข ศูนย์ควบคุมการเดินรถยังคงจัดรถไฟฟ้าวิ่งให้บริการระหว่างสถานีกรุงธนบุรีกับสถานีเจริญนคร และปิดสถานีคลองสานชั่วคราว
-22:10 น. จุดสับรางขัดข้องระหว่างสถานีเจริญนครกับสถานีปลายทางคลองสาน ได้รับการแก้ไขเรียบร้อย, ศูนย์ควบคุมการเดินรถจัดรถไฟฟ้าวิ่งให้บริการระหว่างสถานีกรุงธนบุรีถึงสถานีปลายทางคลองสาน และสถานีคลองสานสามารถเปิดให้บริการได้ตามปกติ
-23:25 น.จุดสับรางขัดข้องระหว่างสถานีเจริญนครกับสถานีปลายทางคลองสานไม่สามารถแก้ไขได้ ศูนย์ควบคุมการเดินรถยังคงจัดรถไฟฟ้าวิ่งให้บริการระหว่างสถานีกรุงธนบุรีกับสถานีเจริญนคร และปิดสถานีคลองสาน จนถึงเวลาปิดให้บริการ และในวันที่ 27-30 ม.ค.64 เวลา 06.00-24.00 น. รถไฟฟ้าสายสีทองปรับรูปแบบการเดินรถ โดยจัดรถไฟฟ้าวิ่งให้บริการจากสถานีกรุงธนบุรีถึงสถานีคลองสาน โดยใช้ชานชาลาฝั่งมุ่งหน้าสถานีคลองสานฝั่งเดียวในการให้บริการและต่อมาวันที่ 31 ม.ค.64-2 ก.พ.64  เวลา 06.00-24.00 น. รถไฟฟ้าสายสีทองมีขบวนรถไฟฟ้า 1 ขบวนจากสถานีกรุงธนบุรีถึงสถานีคลองสาน โดยใช้ชานชาลาทั้ง 2 ฝั่งในการให้บริการ "
9,2021,กุมภาพันธ์,2021-02-01,9.59,,5,2,PP15,PP16,C,BEM,6,เวลา 09.59 ระหว่างสถานีบางซ่อนและสถานีเตาปูน  ฝั่งขาล่อง ประแจสับราง (Turnout) หมายเลข T1606 ก่อนถึงสถานีเตาปูนขัดข้อง ทำให้ขบวนรถไม่สามารถเคลื่อนที่ผ่านได้ ต่อมา10.13 น. รถไฟฟ้าฝั่งขาล่องหยุดให้บริการชั่วคราวที่สถานีศูนย์ราชการนนทบุรี สถานีกระทรวงสาธารณสุข สถานีแยกติวานนท์ สถานีวงศ์สว่าง และสถานีบางซ่อน  ทำการแก้ไขโดยทำการปรับทิศทาง Turn out ไปยังทิศทาง normal และปรับตั้ง Speed Limit ช่วงก่อนเข้าสถานีเตาปูนไว้ไม่เกิน 20 Km/hr ขบวนรถสามารถเคลื่อนที่ผ่านได้ปกติเกิดความล่าช้าในการให้บริการ 15 นาที ต่อมา 10.18 น. ทีมช่างดำเนินการแก้ไขเรียบร้อย ให้บริการได้ตามปกติ
10,2021,กุมภาพันธ์,2021-02-04,19.57,City01,4,1,A5,,B,SRTET,1,"เวลา19:57 น. ขบวนรถ City01 เกิดระบบจ่ายไฟฟ้าขบวนรถขัดข้อง ขนถ่ายผู้โดยสารที่สถานีรามคำแหงฝั่งออกนอกเมืองและนำรถเสริมนอกตารางมาให้บริการแทนส่งผลให้รถล่าช้าจากตารางเวลา 5 นาที
-เวลา 20.35 น.รถไฟทุกขบวนให้บริการตรงตามตารางเดินรถ"
